Language_short_name;EN;RU
Language_name;English;Русский
Welcome_back;WELCOME BACK!;С ВОЗВРАЩЕНИЕМ!
Earned_offline; EARNED OFFLINE; ЗАРАБОТАНО ОФФЛАЙН
Hooks;HOOKS;КРЮЧКИ
Play;PLAY;ИГРАТЬ
Earnings;EARNINGS;ЗАРАБОТОК
Tap_to_start_playing;TAP TO START PLAYING;НАЖМИТЕ ЧТОБЫ НАЧАТЬ ИГРАТЬ
Fish_upgrade_title;MAX FISHES;МАКСИМУМ#РЫБОК
Fish_upgrade_fishes;FISH;РЫБ
Depth_upgrade_title;MAX DEPTH;ГЛУБИНА
Depth_upgrade_meters;M;М
Depth_upgrade_meters_small;m;m
Offline_earnings_upgrade_title;OFFLINE EARNINGS;ЗАРАБОТОК#ОФФЛАЙН
Offline_earnings_money_per_min;$/MIN;$/МИН
Energy_warning;NOT ENOUGH ENERGY!;НЕ ХВАТАЕТ ЭНЕРГИИ
Buy_energy_potion_to_restore;BUY ENERGY POTION#TO RESTORE ENERGY;КУПИ ЗЕЛЬЕ БОДРОСТИ#ЧТОБЫ ВОССТАНОВИТЬ ЭНЕРГИЮ
No_thanks;NO, THANKS;НЕТ СПАСИБО
Buy;BUY;КУПИТЬ
Best_result;BEST;РЕКОРД
Aquarium;AQUARIUM;АКВАРИУМ
Prizes_tap_to_open_hint;TAP TO OPEN;НАЖМИ ЧТОБЫ ОТКРЫТЬ
Best_prize;BEST PRIZE;ЛУЧШИЙ ПРИЗ
Fish_rare;RARE!;РЕДКАЯ!
Fish_legendary;LEGENDARY!;ЗОЛОТАЯ!
Claim;CLAIM;ЗАБРАТЬ
Bonus;BONUS;БОНУС
Score_title;YOUR SCORE;ВАШ СЧЕТ
New_record; NEW RECORD!; НОВЫЙ РЕКОРД!
Unlock_hook;UNLOCK#RANDOM;ОТКРЫТЬ#НОВЫЙ
More_hooks_coming;MORE HOOKS COMING SOON!;БОЛЬШЕ КРЮЧКОВ СОВСЕМ СКОРО!
Settings;SETTINGS;НАСТРОЙКИ
Sounds;SOUNDS;ЗВУКИ
Sound;SOUND;ЗВУК
Music;MUSIC;МУЗЫКА
Language;LANGUAGE;ЯЗЫК
Ok;OK;ОК
Treasure_open;OPEN;ОТКРЫТЬ
Do_smth_for_energy;ENERGY;ЗА ЭНЕРГИЮ
Do_smth_for_reward_ad;WATCH AD;ЗА РЕКЛАМУ
Your_score;SCORE;СЧЁТ
Win_a_prize;WIN A PRIZE!;ВЫЙГРАЙ ПРИЗ!
Make_first_upgrade_text; MAKE YOUR#FIRST UPGRADE; СДЕЛАЙТЕ СВОЙ#ПЕРВЫЙ АПГРЕЙД
Perfect_start; PERFECT START!; ИДЕАЛЬНЫЙ ЗАБРОС!
Claim_all_x; CLAIM ALL x; ЗАБРАТЬ ВСЕ х
No_thanks; NO, THANKS; НЕТ, СПАСИБО
Open_chest; OPEN; ОТКРЫТЬ
Open_for_ad_msg; WATCH AD; ЗА РЕКЛАМУ 
Price; PRICE; СТОИМОСТЬ
Treasure_found; TREASURE#FOUND; ВЫ НАШЛИ#СОКРОВИЩА!
Chest; CHEST!; СУНДУК!
Move_finger_tutorial; MOVE FINGER#TO CONTROL; ДВИГАЙ ПАЛЬЦЕМ#ЧТОБЫ УПРАВЛЯТЬ
Move_mouse_tutorial; CONTROL WITH MOUSE; ДВИГАЙ МЫШЬЮ
Become_VIP; BECOME VIP; СТАНЬТЕ VIP
VIP_night_mode; VIP NIGHT MODE; VIP НОЧНОЙ РЕЖИМ
Exclusive_night_mode; EXCLUSIVE NIGHT MODE!; ЭКСКЛЮЗИВНЫЙ НОЧНОЙ РЕЖИМ!
No_ads; NO ADS!; НИКАКОЙ РЕКЛАМЫ!
All_money_x_2; ALL MONEY x2!; ВСЕ ДЕНЬГИ х2!
Start_free_trial; START FREE TRIAL; ПОПРОБОВАТЬ БЕСПЛАТНО
Time_to_check_the_aquarium; TIME TO CHECK#THE AQUARIUM; ПОРА ПРОВЕРИТЬ#АКВАРИУМ
 
